"numer_adres";"stan_zdrowia";"y_wgs84";"dzielnica";"adres";"lokalizacja";"wiek_w_dni";"srednica_k";"pnie_obwod";"miasto";"jednostka";"x_pl2000";"wysokosc";"y_pl2000";"numer_inw";"﻿x_wgs84";"_id";"gatunek_1";"gatunek";"data_wyk_pom"
"";"dobry";"52.255833";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"70";"10";"164";"Warszawa";"Dzielnica Praga Północ";"7503380.79370629";"16";"5791365.22377622";"D209705";"21.049513";5430;"Ulmus laevis";"wiąz szypułkowy";"20110801"
"";"dobry";"52.256741";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"50";"12";"138";"Warszawa";"Dzielnica Praga Północ";"7503432.03118881";"16";"5791466.25566434";"D209706";"21.050265";5431;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.256679";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"50";"6";"93";"Warszawa";"Dzielnica Praga Północ";"7503448.80447552";"10";"5791459.44657343";"D209707";"21.05051";5432;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.256626";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"70";"16";"182";"Warszawa";"Dzielnica Praga Północ";"7503445.64195804";"16";"5791453.51314685";"D209708";"21.050464";5433;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.256476";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"70";"10";"178";"Warszawa";"Dzielnica Praga Północ";"7503437.78545455";"18";"5791436.76839161";"D209709";"21.050349";5434;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.256422";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"70";"15";"180";"Warszawa";"Dzielnica Praga Północ";"7503433.78545455";"18";"5791430.76839161";"D209710";"21.05029";5435;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.25627";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"70";"14";"196";"Warszawa";"Dzielnica Praga Północ";"7503429";"13";"5791413.91342657";"D209711";"21.05022";5436;"Acer negundo";"klon jesionolistny";"20110801"
"";"średni";"52.256127";"Praga Północ";"ul. RADZYMIŃSKA";"Ulica RADZYMIŃSKA";"70";"10";"171";"Warszawa";"Dzielnica Praga Północ";"7503417";"17";"5791398.00181818";"D209712";"21.050044";5437;"Ulmus laevis";"wiąz szypułkowy";"20110801"
"";"średni";"52.257187";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"70";"7";"146";"Warszawa";"Dzielnica Praga Północ";"7503638";"8";"5791516.00181818";"D209713";"21.053282";5438;"Acer negundo";"klon jesionolistny";"20110801"
"";"średni";"52.257294";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"70";"12";"175";"Warszawa";"Dzielnica Praga Północ";"7503643.39454545";"15";"5791527.91692308";"D209714";"21.053361";5439;"Acer negundo";"klon jesionolistny";"20110801"
"";"zły";"52.258705";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"40";"6";"105";"Warszawa";"Dzielnica Praga Północ";"7503645";"5";"5791685.00181818";"D209715";"21.053386";5440;"Acer negundo";"klon jesionolistny";"20110801"
"";"dobry";"52.258741";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"35";"7";"78";"Warszawa";"Dzielnica Praga Północ";"7503629";"8";"5791689.00181818";"D209716";"21.053152";5441;"Sorbus aucuparia";"jarząb pospolity";"20110801"
"";"dobry";"52.258517";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"40";"8";"131";"Warszawa";"Dzielnica Praga Północ";"7503633";"12";"5791664.00181818";"D209717";"21.05321";5442;"Acer negundo";"klon jesionolistny";"20110801"
"";"dobry";"52.258463";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"60";"10";"139";"Warszawa";"Dzielnica Praga Północ";"7503633";"17";"5791658.00181818";"D209718";"21.05321";5443;"Fraxinus excelsior";"jesion wyniosły";"20110801"
"";"średni";"52.258652";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"15";"4";"30, 42";"Warszawa";"Dzielnica Praga Północ";"7503643";"4";"5791679.00181818";"D209719";"21.053357";5444;"Robinia pseudoacacia";"robinia biała";"20110801"
